filter,year,prevision,simulacionpib,simulacionpercentage
filter,year,prevision,simulacionpib,simulacionpercentage
filter,year,prevision,simulacionpib,simulacionpercentage
filter,year,prevision,simulacionpib,simulacionpercentage
year,prevision,simulacionpib,simulacionpercentage
2019,20298,20268,-0.1475
2020,20684,20594,-0.434
2021,21056,20933,-0.5835
2022,21414,21186,-1.0669
