filter,year,prevision,simulacionpib,simulacionpercentage
filter,year,prevision,simulacionpib,simulacionpercentage
filter,year,prevision,simulacionpib,simulacionpercentage
filter,year,prevision,simulacionpib,simulacionpercentage
year,prevision,simulacionpib,simulacionpercentage
2019,20298,20319,0.1018
2020,20684,20670,-0.07
2021,21056,21013,-0.2021
2022,21414,21334,-0.3728
