type,filter,year,prevision,simulacionpercentage,simulacion
pib,pf-3-idc-2-vdc-1,2024,1270593.7,-0.4731,1264583
pib,pf-3-idc-2-vdc-1,2025,1293464.4,-0.2058,1290802
pib,pf-3-idc-2-vdc-1,2026,1315453.3,-0.0072,1315359
pib,pf-3-idc-2-vdc-2,2023,1240814.2,-0.2773,1237373
pib,pf-3-idc-2-vdc-2,2024,1270593.7,-0.4303,1265126
pib,pf-3-idc-2-vdc-2,2025,1293464.4,-0.6388,1285202
pib,pf-3-idc-2-vdc-2,2026,1315453.3,-1.0767,1301290
pib,pf-3-idc-3-vdc-1,2023,1240814.2,0.0304,1241191
pib,pf-3-idc-3-vdc-1,2024,1270593.7,0.1514,1272517
pib,pf-3-idc-3-vdc-1,2025,1293464.4,-0.0206,1293198
pib,pf-3-idc-3-vdc-1,2026,1315453.3,-0.1536,1313433
pib,pf-3-idc-3-vdc-2,2023,1240814.2,0.2103,1243424
pib,pf-3-idc-3-vdc-2,2024,1270593.7,0.6118,1278367
pib,pf-3-idc-3-vdc-2,2025,1293464.4,0.7474,1303132
pib,pf-3-idc-3-vdc-2,2026,1315453.3,0.4851,1321835
pib,pf-3-idc-4-vdc-1,2023,1240814.2,-0.3021,1237066
pib,pf-3-idc-4-vdc-1,2024,1270593.7,-0.3777,1265795
pib,pf-3-idc-4-vdc-1,2025,1293464.4,-0.5911,1285819
pib,pf-3-idc-4-vdc-1,2026,1315453.3,-0.7799,1305194
pib,pf-3-idc-4-vdc-2,2023,1240814.2,-0.1623,1238800
pib,pf-3-idc-4-vdc-2,2024,1270593.7,-0.1687,1268450
pib,pf-3-idc-4-vdc-2,2025,1293464.4,-0.3585,1288827
pib,pf-3-idc-4-vdc-2,2026,1315453.3,-0.6849,1306444
pib,pf-4-idc-1-vdc-1,2023,1240814.2,0.2313,1243684
pib,pf-4-idc-1-vdc-1,2024,1270593.7,0.0212,1270863
pib,pf-4-idc-1-vdc-1,2025,1293464.4,0.2348,1296501
pib,pf-4-idc-1-vdc-1,2026,1315453.3,0.4056,1320789
pib,pf-4-idc-1-vdc-2,2023,1240814.2,0.29,1244413
pib,pf-4-idc-1-vdc-2,2024,1270593.7,0.4089,1275789
pib,pf-4-idc-1-vdc-2,2025,1293464.4,0.4917,1299824
pib,pf-4-idc-1-vdc-2,2026,1315453.3,0.4713,1321653
pib,pf-4-idc-2-vdc-1,2023,1240814.2,-0.1135,1239406
pib,pf-4-idc-2-vdc-1,2024,1270593.7,-0.1324,1268911
pib,pf-4-idc-2-vdc-1,2025,1293464.4,0.2755,1297028
pib,pf-4-idc-2-vdc-1,2026,1315453.3,0.5855,1323155
pib,pf-4-idc-2-vdc-2,2023,1240814.2,0.0533,1241476
pib,pf-4-idc-2-vdc-2,2024,1270593.7,-0.1092,1269206
pib,pf-4-idc-2-vdc-2,2025,1293464.4,-0.1696,1291271
pib,pf-4-idc-2-vdc-2,2026,1315453.3,-0.451,1309521
pib,pf-4-idc-3-vdc-1,2023,1240814.2,0.3003,1244540
pib,pf-4-idc-3-vdc-1,2024,1270593.7,0.3556,1275112
pib,pf-4-idc-3-vdc-1,2025,1293464.4,0.3006,1297353
pib,pf-4-idc-3-vdc-1,2026,1315453.3,0.2909,1319280
pib,pf-4-idc-3-vdc-2,2023,1240814.2,0.4819,1246794
pib,pf-4-idc-3-vdc-2,2024,1270593.7,0.808,1280860
pib,pf-4-idc-3-vdc-2,2025,1293464.4,1.0519,1307070
pib,pf-4-idc-3-vdc-2,2026,1315453.3,0.9126,1327458
pib,pf-4-idc-4-vdc-1,2023,1240814.2,0.019,1241050
pib,pf-4-idc-4-vdc-1,2024,1270593.7,-0.0667,1269746
pib,pf-4-idc-4-vdc-1,2025,1293464.4,-0.1209,1291901
pib,pf-4-idc-4-vdc-1,2026,1315453.3,-0.1649,1313284
pib,pf-4-idc-4-vdc-2,2023,1240814.2,0.1549,1242736
pib,pf-4-idc-4-vdc-2,2024,1270593.7,0.1276,1272215
pib,pf-4-idc-4-vdc-2,2025,1293464.4,0.0894,1294621
pib,pf-4-idc-4-vdc-2,2026,1315453.3,-0.0879,1314297
pib,prevision,2023,1240814.2,2.1,1240814.2
pib,prevision,2024,1270593.7,2.4,1270593.7
pib,prevision,2025,1293464.4,1.8,1293464.4
pib,prevision,2026,1315453.3,1.7,1315453.3
empleo,pf-1-idc-1-vdc-1,2023,19456.3,0.1906,19493
empleo,pf-1-idc-1-vdc-1,2024,19903.8,-0.0858,19887
empleo,pf-1-idc-1-vdc-1,2025,20222.2,-0.1367,20195
empleo,pf-1-idc-1-vdc-1,2026,20525.6,-0.1154,20502
empleo,pf-1-idc-1-vdc-2,2023,19456.3,0.3468,19524
empleo,pf-1-idc-1-vdc-2,2024,19903.8,0.2969,19963
empleo,pf-1-idc-1-vdc-2,2025,20222.2,0.2203,20267
empleo,pf-1-idc-1-vdc-2,2026,20525.6,-0.0372,20518
empleo,pf-1-idc-2-vdc-1,2023,19456.3,-0.4489,19369
empleo,pf-1-idc-2-vdc-1,2024,19903.8,-0.3242,19839
empleo,pf-1-idc-2-vdc-1,2025,20222.2,0.0329,20229
empleo,pf-1-idc-2-vdc-1,2026,20525.6,0.1089,20548
empleo,pf-1-idc-2-vdc-2,2023,19456.3,-0.1475,19428
empleo,pf-1-idc-2-vdc-2,2024,19903.8,-0.434,19817
empleo,pf-1-idc-2-vdc-2,2025,20222.2,-0.5835,20104
empleo,pf-1-idc-2-vdc-2,2026,20525.6,-1.0669,20307
empleo,pf-1-idc-3-vdc-1,2023,19456.3,0.4273,19539
empleo,pf-1-idc-3-vdc-1,2024,19903.8,0.2994,19963
empleo,pf-1-idc-3-vdc-1,2025,20222.2,-0.1785,20186
empleo,pf-1-idc-3-vdc-1,2026,20525.6,-0.3543,20453
empleo,pf-1-idc-3-vdc-2,2023,19456.3,0.6888,19590
empleo,pf-1-idc-3-vdc-2,2024,19903.8,0.812,20065
empleo,pf-1-idc-3-vdc-2,2025,20222.2,0.8094,20386
empleo,pf-1-idc-3-vdc-2,2026,20525.6,0.3391,20595
empleo,pf-1-idc-4-vdc-1,2023,19456.3,-0.03,19450
empleo,pf-1-idc-4-vdc-1,2024,19903.8,-0.2004,19864
empleo,pf-1-idc-4-vdc-1,2025,20222.2,-0.2415,20173
