filter,year,prevision,simulacionpib,simulacionpercentage
pf-4-idc-2-vdc-1,2019,20298,20201,-0.4803
pf-4-idc-2-vdc-1,2020,20684,20648,-0.1725
pf-4-idc-2-vdc-1,2021,21056,21110,0.2542
pf-4-idc-2-vdc-1,2022,21414,21476,0.2913
pf-4-idc-2-vdc-2,2019,20298,20274,-0.1195
pf-4-idc-2-vdc-2,2020,20684,20615,-0.3337
pf-4-idc-2-vdc-2,2021,21056,20951,-0.5002
pf-4-idc-2-vdc-2,2022,21414,21187,-1.0603
pf-4-idc-3-vdc-1,2019,20298,20382,0.4115
pf-4-idc-3-vdc-1,2020,20684,20752,0.33
pf-4-idc-3-vdc-1,2021,21056,21008,-0.2279
pf-4-idc-3-vdc-1,2022,21414,21323,-0.4259
pf-4-idc-3-vdc-2,2019,20298,20446,0.7304
pf-4-idc-3-vdc-2,2020,20684,20879,0.9406
pf-4-idc-3-vdc-2,2021,21056,21252,0.9322
pf-4-idc-3-vdc-2,2022,21414,21493,0.3702
pf-4-idc-4-vdc-1,2019,20298,20293,-0.0249
pf-4-idc-4-vdc-1,2020,20684,20662,-0.1067
pf-4-idc-4-vdc-1,2021,21056,21026,-0.1448
pf-4-idc-4-vdc-1,2022,21414,21383,-0.1441
pf-4-idc-4-vdc-2,2019,20298,20325,0.1311
pf-4-idc-4-vdc-2,2020,20684,20692,0.039
pf-4-idc-4-vdc-2,2021,21056,21034,-0.1065
pf-4-idc-4-vdc-2,2022,21414,21344,-0.3264
